Ticker,Year,Revenue,Revenue Growth %,Gross Profit,Gross Profit Margin %,Operating Income,Operating Margin %,EBIT,EBIT Margin %,EBITDA,EBITDA Margin %,Net Income,Net Profit Margin %,Basic EPS,Diluted EPS,Normalized EPS,Dividend Per Share
T,2022,120740000000.0,-0.0992,69890000000.0,0.5789,22910000000.0,0.1898,3010000000.0,0.025,21040000000.0,0.1742,-8730000000.0,-0.0569,-1.13,-1.13,2.57,0.83
T,2023,122430000000.0,0.014,72310000000.0,0.5906,24650000000.0,0.2014,26550000000.0,0.2169,45330000000.0,0.3703,14190000000.0,0.1276,1.97,1.97,2.41,1.11
T,2024,122340000000.0,-0.0008,73120000000.0,0.5977,24120000000.0,0.1972,23460000000.0,0.1917,44040000000.0,0.36,10750000000.0,0.1002,1.49,1.49,2.19,1.11
VZ,2015,131620000000.0,0.0357,79060000000.0,0.6007,33060000000.0,0.2512,33050000000.0,0.2511,49060000000.0,0.3728,17880000000.0,0.1396,4.38,4.37,3.99,2.78
VZ,2016,125980000000.0,-0.0429,73280000000.0,0.5817,30260000000.0,0.2402,25300000000.0,0.2008,41230000000.0,0.3273,13130000000.0,0.108,3.22,3.21,3.87,2.29
VZ,2017,126030000000.0,0.0004,72970000000.0,0.579,29200000000.0,0.2317,25250000000.0,0.2003,42200000000.0,0.3348,30100000000.0,0.2424,7.37,7.36,3.76,1.75
VZ,2018,130860000000.0,0.0383,75360000000.0,0.5758,26870000000.0,0.2053,24360000000.0,0.1862,41770000000.0,0.3192,15530000000.0,0.1226,3.76,3.76,4.71,2.37
VZ,2019,131870000000.0,0.0077,77140000000.0,0.585,30560000000.0,0.2318,27340000000.0,0.2073,44020000000.0,0.3338,19270000000.0,0.1501,4.66,4.65,4.81,2.42
VZ,2020,128290000000.0,-0.0271,77090000000.0,0.6009,28800000000.0,0.2245,28150000000.0,0.2194,44870000000.0,0.3497,17800000000.0,0.143,4.3,4.3,4.9,2.47
VZ,2021,133610000000.0,0.0415,77310000000.0,0.5786,32450000000.0,0.2429,32860000000.0,0.2459,49060000000.0,0.3672,22070000000.0,0.1693,5.32,5.32,5.5,3.16
VZ,2022,136840000000.0,0.0241,77700000000.0,0.5679,30470000000.0,0.2227,31740000000.0,0.2319,48840000000.0,0.3569,21260000000.0,0.1589,5.06,5.06,5.17,1.93
VZ,2023,133970000000.0,-0.0209,79090000000.0,0.5903,28720000000.0,0.2144,22160000000.0,0.1654,39780000000.0,0.2969,11610000000.0,0.0903,2.76,2.75,4.71,1.97
VZ,2024,134790000000.0,0.0061,80690000000.0,0.5987,28690000000.0,0.2128,29290000000.0,0.2173,47180000000.0,0.3501,17510000000.0,0.1332,4.15,4.14,4.59,2.67
